name,code
Erynnis zarucco,ERYZAR
Euchloe sp.,EUC-SP
Euchloe ausonides,EUCAUS
Euchloe creusa,EUCCRE
Euchloe guaymasensis,EUCGUA
Euchloe hyantis,EUCHYA
Euchloe hyantis hyantis,EUCHYA
Euchloe hyantis lotta,EUCHYA
Euchloe naina,EUCNAI
Euchloe olympia,EUCOLY
Eueides isabella,EUEISA
Eumaeus atala,EUMATA
Eunica sp.,EUN-SP
Eunica monima,EUNMON
Eunica tatila,EUNTAT
Euphilotes sp.,EUP-SP
Euphilotes battoides,EUPBAT
Euphilotes battoides allyni,EUPBAT
Euphilotes battoides bernardino,EUPBAT
Euphilotes battoides intermedia,EUPBAT
Euphilotes battoides baueri,EUPBAT
Euphilotes battoides centralis,EUPBAT
Euphilotes battoides ellisi,EUPBAT
Euphilotes enoptes,EUPENO
Euphilotes enoptes mojave,EUPENO
Euphilotes enoptes dammersi,EUPENO
Euphilotes enoptes ancilla,EUPENO
Euphydryas sp.,EUPH-SP
Euphydryas chalcedona,EUPHCHA
Euphydryas chalcedona chalcedona,EUPHCHA
Euphydryas chalcedona colon,EUPHCHA
Euphydryas chalcedona anicia,EUPHCHA
Euphydryas editha,EUPHEDI
Euphydryas gillettii,EUPHGIL
Euphydryas phaeton,EUPHPHA
Euphilotes rita,EUPRIT
Euphilotes rita pallescens,EUPRIT
Euphilotes spaldingi,EUPSPA
Euptoieta sp.,EUPT-SP
Euptoieta claudia,EUPTCLA
Euptoieta hegesia,EUPTHEG
Euphyes sp.,EUPY-SP
Euphyes arpa,EUPYARP
Euphyes bayensis,EUPYBAY
Euphyes berryi,EUPYBER
Euphyes bimacula,EUPYBIM
Euphyes conspicua,EUPYCON
Euphyes dion,EUPYDIO
Euphyes dukesi,EUPYDUK
Euphyes pilatka,EUPYPIL
Euphyes vestris,EUPYVES
Eurema sp.,EUR-SP
Eurema albula,EURALB
Eurema boisduvaliana,EURBOI
Eurema daira,EURDAI
Eurema dina,EURDIN
Eurema lisa,EURLIS
Eurema messalina,EURMES
Eurema mexicana,EURMEX
Eurema nicippe,EURNIC
Eurema nise,EURNIS
Eurema proterpia,EURPRO
Eurema salome,EURSAL
Eurytides sp.,EURY-SP
Eurytides marcellus,EURYMAR
Eurytides philolaus,EURYPHI
Everes sp.,EVE-SP
Everes amyntula,EVEAMY
Everes comyntas,EVECOM
Hesperiidae sp.,F-HESP
Lycaenidae sp.,F-LYCA
Nymphalidae sp.,F-NYMP
Papilionidae sp.,F-PAPI
Pieridae sp.,F-PIER
Riodinidae sp.,F-RIOD
Feniseca tarquinius,FENTAR
Ganyra sp.,GAN-SP
Ganyra howarthii,GANHOW
Ganyra josephina,GANJOS
Gesta gesta,GESGES
Glaucopsyche sp.,GLA-SP
Glaucopsyche lygdamus,GLALYG
Glaucopsyche piasus,GLAPIA
Glaucopsyche xerces,GLAXER
Gorgythion begga,GORBEG
Grais stigmatica,GRASTI
Colias philodiceXeurytheme,H-COL
Limenitis arthemis artXast,H-LIM1
Limenitis archippusXweidemeyerii,H-LIM2
Limenitis arthemisXweidemeyerii,H-LIM3
Limenitis arthemisXarchippus,H-LIM4
Limenitis lorquiniXarthemis,H-LIM5
Habrodais grunus,HABGRU
Hamadryas sp.,HAM-SP
Hamadryas amphichloe,HAMAM1
Hamadryas amphinome,HAMAM2
Hamadryas atlantis,HAMATL
Hamadryas februa,HAMFEB
Hamadryas feronia,HAMFER
Hamadryas glauconome,HAMGLA
Hamadryas guatemalena,HAMGUA
Heliconius sp.,HEL-SP
Heliconius charithonia,HELCHA
Heliconius erato,HELERA
Heliopetes sp.,HELI-SP
Heliopetes arsalte,HELIARS
Heliopetes domicella,HELIDOM
Heliopetes ericetorum,HELIERI
Heliopetes laviana,HELILAV
Heliopetes macaira,HELIMAC
Hemiargus sp.,HEM-SP
Hemiargus ammon,HEMAMM
Hemiargus ceraunus,HEMCER
Hemiargus isola,HEMISO
Hemiargus thomasi,HEMTHO
Hermeuptychia sosybius,HERSOS
Hesperia sp.,HES-SP
Hesperia attalus,HESATT
Hesperia columbia,HESCOL
Hesperia comma,HESCOM
Hesperia comma colorado,HESCOM
Hesperia comma assiniboia,HESCOM
Hesperia dacotae,HESDAC
Hesperia juba,HESJUB
Hesperia leonardus,HESLEO
Hesperia lindseyi,HESLIN
Hesperia meskei,HESMES
Hesperia metea,HESMET
Hesperia miriamae,HESMIR
Hesperia nevada,HESNEV
Hesperia ottoe,HESOTT
Hesperopsis sp.,HESP-SP
Hesperia pahaska,HESPAH
Hesperopsis alpheus,HESPALP
Hesperopsis alpheus alpheus,HESPALP
Hesperopsis alpheus gracielae,HESPALP
Hesperopsis libya,HESPLIB
Hesperia sassacus,HESSAS
Hesperia uncas,HESUNC
Hesperia viridis,HESVIR
Hesperia woodgatei,HESWOO
Historis sp.,HIS-SP
Historis acheronta,HISACH
Historis odius,HISODI
Hylephila phyleus,HYLPHY
Hypolimnas misippus,HYPLMIS
Hypanartia lethe,HYPNLET
Hypostrymon critola,HYPSCRI
Hypaurotis crysalus,HYPUCRY
Junonia sp.,JUN-SP
Junonia coenia,JUNCOE
Junonia evarete,JUNEVA
Junonia genoveva form nigrosuffusa,JUNGEN
Kricogonia lyside,KRILYS
Lampides boeticus,LAMBOE
Lasaia sula,LASSUL
Leptotes sp.,LEP-SP
Leptotes cassius,LEPCAS
Leptotes marina,LEPMAR
Lerema sp.,LER-SP
Lerema accius,LERACC
Lerema liris,LERLIR
Lerodea sp.,LERO-SP
Lerodea arabus,LEROARA
Lerodea dysaules,LERODYS
Lerodea eufala,LEROEUF
Libytheana carinenta,LIBCAR
Limenitis sp.,LIM-SP
Limenitis archippus,LIMARC
Limenitis arthemis,LIMART
Limenitis lorquini,LIMLOR
Limenitis weidemeyerii,LIMWEI
Lycaeides sp.,LYC-SP
Lycaena sp.,LYCA-SP
Lycaena arota,LYCAARO
Lycaena cupreus,LYCACUP
Lycaena cupreus snowi,LYCACUP
Lycaena dione,LYCADIO
Lycaena dorcas,LYCADOR
Lycaena dorcas claytoni,LYCADOR
Lycaena dorcas dospassosi,LYCADOR
Lycaena editha,LYCAEDI
Lycaena epixanthe,LYCAEPI
Lycaena gorgon,LYCAGOR
Lycaena helloides,LYCAHEL
Lycaena hermes,LYCAHER
Lycaena heteronea,LYCAHET
Lycaena hyllus,LYCAHYL
Lycaena mariposa,LYCAMAR
Lycaena nivalis,LYCANIV
Lycaena phlaeas,LYCAPHL
Lycaena rubidus,LYCARUB
Lycaena rubidus ferrisi,LYCARUB
Lycaena xanthoides,LYCAXAN
Lycaeides idas,LYCIDA
Lycaeides melissa,LYCMEL
Lycorea cleobaea,LYCOCLE
Marpesia sp.,MAR-SP
Marpesia chiron,MARCHI
Marpesia coresia,MARCOR
Marpesia eleuchea,MARELE
Marpesia petreus,MARPET
Megathymus sp.,MEG-SP
Megathymus cofaqui,MEGCOF
Megisto sp.,MEGI-SP
Megisto cymela,MEGICYM
Megisto rubricata,MEGIRUB
Megathymus streckeri,MEGSTR
Megathymus ursus,MEGURS
Megathymus yuccae,MEGYUC
Melanis pixe,MELPIX
Mestra amymone,MESAMY
Microtia elva,MICELV
Ministrymon sp.,MINI-SP
Ministrymon azia,MINIAZI
Ministrymon clytie,MINICLY
Ministrymon leda,MINILED
Monca tyrtaeus,MONTYR
Morpho polyphemus,MORPOL
Myscelia sp.,MYS-SP
Myscelia cyananthe,MYSCYA
Myscelia ethusa,MYSETH
Nastra sp.,NAS-SP
Nastra julia,NASJUL
Nastra lherminier,NASLHE
Nastra neamathla,NASNEA
Nathalis iole,NATIOL
Neominois ridingsii,NEOMRID
Neonympha sp.,NEON-SP
Neonympha areolata,NEONARE
Neonympha mitchellii,NEONMIT
Neophasia sp.,NEOP-SP
Neophasia menapia,NEOPMEN
Neophasia terlootii,NEOPTER
Nisoniades rubescens,NISRUB
Noctuana stator,NOCSTA
Nyctelius nyctelius,NYCNYC
Nymphalis sp.,NYM-SP
Nymphalis antiopa,NYMANT
Nymphalis californica,NYMCAL
Nymphalis milberti,NYMMIL
Nymphalis urticae,NYMURT
Nymphalis vaualbum,NYMVAU
Oarisma sp.,OAR-SP
Oarisma edwardsii,OAREDW
Oarisma garita,OARGAR
Oarisma poweshiek,OARPOW
Ocaria ocrisia,OCAOCR
Ochlodes sp.,OCH-SP
Ochlodes agricola,OCHAGR
Ochlodes sylvanoides,OCHSYL
Ochlodes yuma,OCHYUM
Oeneis sp.,OEN-SP
Oeneis alberta,OENALB
Oeneis alpina,OENALP
Oeneis chryxus,OENCHR
Oeneis chryxus chryxus,OENCHR
Oeneis chryxus ivallda,OENCHR
Oeneis jutta,OENJUT
Oeneis macounii,OENMAC
Oeneis melissa,OENMEL
Oeneis nevadensis,OENNEV
Oenomaus ortygnus,OENOORT
Oeneis polixenes,OENPOL
Oeneis rosovi,OENROS
Oeneis taygete,OENTAY
Oeneis uhleri,OENUHL
Oligoria maculata,OLIMAC
Panoquina sp.,PAN-SP
Panoquina errans,PANERR
Panoquina fusina,PANFUS
Panoquina hecebola,PANHEC
Panoquina ocola,PANOCO
Panoquina panoquin,PANPA1
Panoquina panoquinoides,PANPA2
Panoquina sylvicola,PANSYL
Papilio sp.,PAP-SP
Papilio andraemon,PAPAN1
Papilio androgeus,PAPAN2
Papilio anchisiades,PAPANC
Papilio aristodemus,PAPARI
Papilio astyalus,PAPAST
Papilio brevicauda,PAPBRE
Papilio canadensis,PAPCAN
Papilio cresphontes,PAPCRE
Papilio eurymedon,PAPEUR
Papilio garamas,PAPGAR
Papilio glaucus,PAPGLA
Papilio indra,PAPIND
Papilio joanae,PAPJOA
Papilio machaon,PAPMAC
Papilio machaon bairdii,PAPMAC
Papilio machaon oregonius,PAPMAC
Papilio multicaudata,PAPMUL
Papilio ornythion,PAPORN
Papilio palamedes,PAPPAL
Papilio pharnaces,PAPPHA
Papilio pilumnus,PAPPIL
Papilio polyxenes,PAPPOL
Papilio polyxenes coloro,PAPPOL
Papilio rutulus,PAPRUT
Papilio thoas,PAPTHO
Papilio troilus,PAPTRO
Papilio victorinus,PAPVIC
Papilio xuthus,PAPXUT
Papilio zelicaon,PAPZEL
Paramacera allyni,PARALL
Parides alopius,PARALO
Paratrytone snowi,PARASNO
Parnassius sp.,PARN-SP
Parnassius clodius,PARNCLO
Parnassius eversmanni,PARNEVE
Parnassius phoebus,PARNPHO
Parnassius phoebus phoebus,PARNPHO
Parnassius phoebus smintheus,PARNPHO
Parnassius phoebus behri,PARNPHO
Parrhasius m-album,PARRMAL
Pellicia sp.,PEL-SP
Pellicia arina,PELARI
Pellicia dimidiata,PELDIM
Perichares philetes,PERPHI
Phaeostrymon alcestis,PHAALC
Philotiella speciosa,PHILSPE
Philotiella speciosa leona,PHILSPE
Philotes sonorensis,PHISON
Phocides sp.,PHO-SP
Phoebis sp.,PHOE-SP
Phoebis agarithe,PHOEAGA
Phoebis neocypris,PHOENEO
Phoebis orbis,PHOEORB
Phoebis philea,PHOEPHI
Phoebis sennae,PHOESEN
Phoebis statira,PHOESTA
Pholisora sp.,PHOL-SP
Pholisora catullus,PHOLCAT
Pholisora mejicana,PHOLMEJ
Phocides pigmalion,PHOPIG
Phocides polybius,PHOPOL
Phyciodes sp.,PHY-SP
Phyciodes argentea,PHYARG
Phyciodes batesii,PHYBAT
Phyciodes campestris,PHYCAM
Phyciodes frisia,PHYFRI
Phyciodes mylitta,PHYMYL
Phyciodes orseis,PHYORS
Phyciodes pallida,PHYPAL
Phyciodes phaon,PHYPHA
Phyciodes picta,PHYPIC
Phyciodes ptolyca,PHYPTO
Phyciodes selenis,PHYSEL
Phyciodes texana,PHYTEX
Phyciodes texana texana,PHYTEX
Phyciodes texana seminole,PHYTEX
Phyciodes tharos,PHYTHA
Phyciodes tulcis,PHYTUL
Phyciodes vesta,PHYVES
Pieris sp.,PIE-SP
Pieris napi,PIENAP
Pieris napi oleracea,PIENAP
Pieris napi marginalis,PIENAP
Pieris rapae,PIERAP
Pieris virginiensis,PIEVIR
Piruna sp.,PIR-SP
Piruna cingo,PIRCIN
Piruna haferniki,PIRHAF
Piruna microstictus,PIRMIC
Piruna pirus,PIRPIR
Piruna polingi,PIRPOL
Plebejus sp.,PLE-SP
Plebejus acmon,PLEACM
Plebejus emigdionis,PLEAMI
Plebejus icarioides,PLEICA
Plebejus icarioides missionensis,PLEICA
Plebejus lupini,PLELUP
Plebejus neurona,PLENEU
Plebejus saepiolus,PLESAE
Plebejus shasta,PLESHA
Poanes sp.,POA-SP
Poanes aaroni,POAAAR
Poanes hobomok,POAHOB
Poanes massasoit,POAMAS
Poanes melane,POAMEL
Poanes taxiles,POATAX
Poanes viator,POAVIA
Poanes yehl,POAYEH
Poanes zabulon,POAZAB
Poladryas sp.,POL-SP
Polyadryas arachne,POLARA
Polygonus sp.,POLG-SP
Polygonus leo,POLGLEO
Polygonus manueli,POLGMAN
Polites sp.,POLI-SP
Polites baracoa,POLIBAR
Polites carus,POLICAR
Polites draco,POLIDRA
Polites mardon,POLIMAR
Polites mystic,POLIMYS
Polites origenes,POLIORI
Polites peckius,POLIPEC
Polites rhesus,POLIRHE
Polites sabuleti,POLISAB
Polites sonora,POLISON
Polites themistocles,POLITHE
Polites vibex,POLIVIB
Poladryas minuta,POLMIN
Polythrix sp.,POLT-SP
Polythrix mexicanus,POLTMEX
Polythrix octomaculata,POLTOCT
Polygonia sp.,POLY-SP
Polygonia comma,POLYCOM
Polygonia faunus,POLYFAU
Polygonia faunus faunus,POLYFAU
Polygonia faunus hylas,POLYFAU
Polygonia faunus silvius,POLYFAU
Polygonia gracilis,POLYGRA
Polygonia gracilis zephyrus,POLYGRA
Polygonia interrogationis,POLYINT
Polygonia oreas,POLYORE
Polygonia progne,POLYPRO
Polygonia satyrus,POLYSAT
Pompeius verna,POMVER
Pontia sp.,PON-SP
Pontia beckerii,PONBEC
Pontia occidentalis,PONOCC
Pontia protodice,PONPRO
Pontia sisymbrii,PONSIS
Problema sp.,PRO-SP
Problema bulenta,PROBUL
Problema byssus,PROBYS
Proteides mercurius,PROTMER
Pseudocopaeodes eunus,PSEEUN
Pyrgus sp.,PYR-SP
Pyrgus albescens,PYRALB
Pyrgus centaureae,PYRCEN
Pyrgus centaureae wyandot,PYRCEN
Pyrgus communis,PYRCOM
Pyrgus oileus,PYROIL
Pyrgus philetas,PYRPHI
Pyrrhopyge araxes,PYRRARA
Pyrgus ruralis,PYRRUR
Pyrgus scriptura,PYRSCR
Pyrgus xanthus,PYRXAN
Quasimellana eulogius,QUAEUL
Rekoa sp.,REK-SP
Rekoa marius,REKMAR
Rekoa palegon,REKPAL
Rhinthon osca,RHIOSC
Boloria improba acrocnema,S-BOAC
Limenitis arthemis arthemis,S-LIAR
Limenitis arthemis astyanax,S-LIAS
Lycaeides melissa samuelis,S-LYSA
Satyrium sp.,SAT-SP
Satyrium acadica,SATACA
Satyrium auretorum,SATAUR
Satyrium behrii,SATBEH
Satyrium calanus,SATCA1
Satyrium californica,SATCA2
Satyrium caryaevorum,SATCA3
Satyrium edwardsii,SATEDW
Satyrium favonius,SATFAV
Satyrium favonius favonius,SATFAV
Satyrium favonius ontario,SATFAV
Satyrium fulginosa,SATFUL
Satyrium ilavia,SATILA
Satyrium kingi,SATKIN
Satyrium liparops,SATLIP
Satyrium polingi,SATPOL
Satyrium saepium,SATSAE
Satyrium sylvinus,SATSYL
Satyrium tetra,SATTET
Satyrium titus,SATTIT
Satyrodes sp.,SATY-SP
Satyrodes appalachia,SATYAPP
Satyrodes eurydice,SATYEUR
Apaturinae sp.,SF-APAT
Coliadinae sp.,SF-COLI
Heliconiinae sp.,SF-HELI
Hesperiinae sp.,SF-HESP
Heteropterinae sp.,SF-HETE
Limenitidinae sp.,SF-LIME
Megathyminae sp.,SF-MEGA
Nymphalinae sp.,SF-NYMP
Papilioninae sp.,SF-PAPI
Pierinae sp.,SF-PIER
Polyommatinae sp.,SF-POLY
Pyrginae sp.,SF-PYRG
Satyrinae sp.,SF-SATY
Theclinae sp.,SF-THEC
Siderus tephraeus,SIDTEP
Siproeta sp.,SIP-SP
Siproeta epaphus,SIPEPA
Siproeta stelenes,SIPSTE
Smyrna blomfildia,SMYBLO
Sostrata bifasciata,SOSBIF
Spathilepia clonius,SPACLO
Speyeria sp.,SPEY-SP
Speyeria adiaste,SPEYADI
Speyeria aphrodite,SPEYAPH
Speyeria atlantis,SPEYATL
Speyeria atlantis atlantis,SPEYATL
Speyeria atlantis hesperis,SPEYATL
Speyeria atlantis nausicaa,SPEYATL
Speyeria callippe,SPEYCAL
Speyeria callippe nevadensis,SPEYCAL
Speyeria coronis,SPEYCOR
Speyeria cybele,SPEYCYB
Speyeria cybele leto,SPEYCYB
Speyeria diana,SPEYDIA
Speyeria edwardsii,SPEYEDW
Speyeria egleis,SPEYEGL
Speyeria hydaspe,SPEYHYD
Speyeria idalia,SPEYIDA
Speyeria mormonia,SPEYMOR
Speyeria mormonia atronia,SPEYMOR
Speyeria mormonia luski,SPEYMOR
Speyeria nokomis,SPEYNOK
Speyeria zerene,SPEYZER
Speyeria zerene carolae,SPEYZER
Stallingsia maculosa,STAMAC
Staphylus sp.,STAP-SP
Staphylus ceos,STAPCEO
Staphylus hayhurstii,STAPHAY
Staphylus mazans,STAPMAZ
Stinga morrisoni,STIMOR
Strymon sp.,STR-SP
Strymon acis,STRACI
Strymon albata,STRALB
Strymon alea,STRALE
Strymon avalona,STRAVA
Strymon bazochii,STRBAZ
Strymon bebrycia,STRBEB
Strymon cestri,STRCES
Strymon istapa,STRIST
Strymon limenia,STRLIM
Strymon martialis,STRMAR
Strymon melinus,STRMEL
Strymon rufofusca,STRRUF
Strymon serapio,STRSER
Strymon yojoa,STRYOJ
Synapte sp.,SYN-SP
Synapte malitiosa,SYNMAL
Synapte salenus,SYNSAL
Synapte syraces,SYNSYR
Gyrocheilus patrobas,SYRPAT
Systasea sp.,SYS-SP
Systasea pulverulenta,SYSPUL
Systasea zampa,SYSZAM
Texola elada,TEXELA
Thespieus macareus,THEMAC
Thorybes sp.,THO-SP
Thorybes bathyllus,THOBAT
Thorybes confusis,THOCON
Thorybes diversus,THODIV
Thorybes drusius,THODRU
Thorybes mexicanus,THOMEX
Thorybes pylades,THOPYL
Thymelicus lineola,THYLIN
Timochares ruptifasciatus,TIMPUR
Tmolus echion,TMOECH
Typhedanus undulatus,TYPUND
Urbanus sp.,URB-SP
Urbanus belli,URBBEL
Urbanus dorantes,URBDO1
Urbanus doryssus,URBDO2
Urbanus esmeraldus,URBESM
Urbanus procne,URBPR1
Urbanus pronus,URBPR2
Urbanus proteus,URBPR3
Urbanus simplicius,URBSIM
Urbanus tanna,URBTAN
Urbanus teleus,URBTEL
Vacciniina optilete,VACOPT
Vaga blackburni,VAGBLA
Vanessa sp.,VAN-SP
Vanessa annabella,VANANN
Vanessa atalanta,VANATA
Vanessa cardui,VANCAR
Vanessa tameneamea,VANTAM
Vanessa virginiensis,VANVIR
Vettius fantasos,VETFAN
Vidius perigenes,VIDPER
Wallengrenia sp.,WAL-SP
Wallengrenia egeremet,WALEGE
Wallengrenia otho,WALOTH
Xenophanes tryxus,XENTRY
Zestusa dorus,ZESDOR
Zizula cyna,ZIZCYN
Greta morgane,GREMOR
Itaballia demophile,ITADEM
Temenis laothoe,TEMLAO
Heliopetes sublinea,HELISUB
Ziegleria guzanta,ZIEGUZ
Baeotis zonata,BIEZON
Achlyodes pallida,ACHLPAL
Pompeius pompeius,POMPOM
Rhetus arcius,RHEARC
Ebrietas sp.,EBR-SP
Melinaea lilis,MELLIL
Adelpha bredowii californica,ADEBRE
Agriades podarce,AGRGLA
Anthocharis sara thoosa,ANTHSAR
Celastrina ladon echo,CELLAD
Cercyonis pegala boopis,CERPEG
Colias philodice (eriphyle),COLPHI
Erynnis brizo lacustra,ERYBRI
Euchloe hyantis foothill,EUCHYA
Hesperia colorado harpalus,HESCOM
Hesperia colorado ssp.,HESCOM
Hesperia colorado tildeni,HESCOM
Incisalia augustinus iroides,CALLAUG
Incisalia eryphon,CALLERY
Incisalia mossii,CALLMOS
Lycaeides idas anna,LYCIDA
Lycaeides melissa melissa,LYCMEL
Lycaena arota arota,LYCAARO
Lycaena arota virginiensis,LYCAARO
Mitoura gryneus chalcosiva,CALLGRY
Mitoura gryneus nelsoni,CALLGRY
Mitoura johnsoni,CALLJOH
Phyciodes campestris campestris,PHYCAM
Phyciodes campestris campestris/montana,PHYCAM
Phyciodes campestris inornatus,PHYCAM
Phyciodes campestris montana,PHYCAM
Phyciodes orseis herlani,PHYORS
Polites sabuleti sabuleti,POLISAB
Polites sabuleti ssp.,POLISAB
Polites sabuleti tecumseh,POLISAB
Satyrium fuliginosum fuliginosum,SATFUL
Satyrium fuliginosum semiluna,SATFUL
Speyeria atlantis irene,SPEYATL
Speyeria callippe juba,SPEYCAL
Speyeria callippe ssp.,SPEYCAL
Thorybes mexicana nevada,THOMEX
Zerene eurydice,COLEU1
Icaricia icarioides fenderi,PLEICA
Neonympha mitchellii francisci,NEONMIT
Icaricia icarioides missionensis,PLEICA
Speryeria zerene hippolyta,SPEYZER
Glaucopsyche lygdamus palosverdesensis,GLALYG
Euphydryas editha taylori,EUPHEDI
Apodemia mormo langei,APOMOR
Plebejus icarioides fenderi,PLEICA
